message_id,emotion
1,sadness
2,sadness
3,sadness
4,sadness
5,sadness
6,sadness
7,sadness
8,sadness
9,sadness
10,sadness
11,sadness
12,sadness
13,sadness
14,sadness
15,sadness
16,sadness
17,sadness
18,sadness
19,sadness
20,sadness
21,sadness
22,sadness
23,sadness
24,sadness
25,sadness
26,sadness
27,sadness
28,sadness
29,sadness
30,sadness
31,sadness
32,sadness
33,sadness
34,sadness
35,sadness
36,sadness
37,sadness
38,sadness
39,sadness
40,sadness
41,sadness
42,sadness
43,sadness
44,sadness
45,sadness
46,sadness
47,sadness
48,sadness
49,sadness
50,sadness
51,sadness
52,sadness
53,sadness
54,sadness
55,sadness
56,sadness
57,sadness
58,sadness
59,sadness
60,sadness
61,sadness
62,sadness
63,sadness
64,sadness
65,sadness
66,sadness
67,sadness
68,sadness
69,sadness
70,sadness
71,sadness
72,sadness
73,sadness
74,sadness
75,sadness
76,sadness
77,sadness
78,sadness
79,sadness
80,sadness
81,sadness
82,sadness
83,sadness
84,sadness
85,sadness
86,sadness
87,sadness
88,sadness
89,sadness
90,sadness
91,sadness
92,sadness
93,sadness
94,sadness
95,sadness
96,sadness
97,sadness
98,sadness
99,sadness
100,sadness
101,sadness
102,sadness
103,sadness
104,sadness
105,sadness
106,sadness
107,sadness
108,sadness
109,sadness
110,sadness
111,sadness
112,sadness
113,sadness
114,sadness
115,sadness
116,sadness
117,sadness
118,sadness
119,sadness
120,sadness
121,sadness
122,sadness
123,sadness
124,sadness
125,sadness
126,sadness
127,sadness
128,sadness
129,sadness
130,sadness
131,sadness
132,sadness
133,sadness
134,sadness
135,sadness
136,sadness
137,sadness
138,sadness
139,sadness
140,sadness
141,sadness
142,sadness
143,sadness
144,sadness
145,sadness
146,sadness
147,sadness
148,sadness
149,sadness
150,sadness
151,sadness
152,sadness
153,sadness
154,sadness
155,sadness
156,sadness
157,sadness
158,sadness
159,sadness
160,sadness
161,sadness
162,sadness
163,sadness
164,sadness
165,sadness
166,sadness
167,sadness
168,sadness
169,sadness
170,sadness
171,sadness
172,sadness
173,sadness
174,sadness
175,sadness
176,sadness
177,sadness
178,sadness
179,sadness
180,sadness
181,sadness
182,sadness
183,sadness
184,sadness
185,sadness
186,sadness
187,sadness
188,sadness
189,sadness
190,sadness
191,sadness
192,sadness
193,sadness
194,sadness
195,sadness
196,sadness
197,sadness
198,sadness
199,sadness
200,sadness
201,sadness
202,sadness
203,sadness
204,sadness
205,sadness
206,sadness
207,sadness
208,sadness
209,sadness
210,sadness
211,sadness
212,sadness
213,sadness
214,sadness
215,sadness
216,sadness
217,sadness
218,sadness
219,sadness
220,sadness
221,sadness
222,sadness
223,sadness
224,sadness
225,sadness
226,sadness
227,sadness
228,sadness
229,sadness
230,sadness
231,sadness
232,sadness
233,sadness
234,sadness
235,sadness
236,sadness
237,sadness
238,sadness
239,sadness
240,sadness
241,sadness
242,sadness
243,sadness
244,sadness
245,sadness
246,sadness
247,sadness
248,sadness
249,sadness
250,sadness
251,sadness
252,sadness
253,sadness
254,sadness
255,sadness
256,sadness
257,sadness
258,sadness
259,sadness
260,sadness
261,sadness
262,sadness
263,sadness
264,sadness
265,sadness
266,sadness
267,sadness
268,sadness
269,sadness
270,sadness
271,sadness
272,sadness
273,sadness
274,sadness
275,sadness
276,sadness
277,sadness
278,sadness
279,sadness
280,sadness
281,sadness
282,sadness
283,sadness
284,sadness
285,sadness
286,sadness
287,sadness
288,sadness
289,sadness
290,sadness
291,sadness
292,sadness
293,sadness
294,sadness
295,sadness
296,sadness
297,sadness
298,sadness
299,sadness
300,sadness
301,sadness
302,sadness
303,sadness
304,sadness
305,sadness
306,sadness
307,sadness
308,sadness
309,sadness
310,sadness
311,sadness
312,sadness
313,sadness
314,sadness
315,sadness
316,sadness
317,sadness
318,sadness
319,sadness
320,sadness
321,sadness
322,sadness
323,sadness
324,sadness
325,sadness
326,sadness
327,sadness
328,sadness
329,sadness
330,sadness
331,sadness
332,sadness
333,sadness
334,sadness
335,sadness
336,sadness
337,sadness
338,sadness
339,sadness
340,sadness
341,sadness
342,sadness
343,sadness
344,sadness
345,sadness
346,sadness
347,sadness
348,sadness
349,sadness
350,sadness
351,sadness
352,sadness
353,sadness
354,sadness
355,sadness
356,sadness
357,sadness
